Model,Accuracy,F1,Kappa,AUC,AP,RMSE,Correlation,SAGR,CCC
MobileNetV2,0.30875,0.29795,0.21,0.709,0.285,"[0.520, 0.439]","[0.189, 0.156]","[0.658, 0.744]","[0.177, 0.144]"
EfficientNetB0,0.14375,0.05855,0.021,0.533,0.137,"[0.467, 0.385]","[0.001, 0.026]","[0.694, 0.776]","[0.000, 0.000]"
